citation,document_number,end_page,html_url,pdf_url,type,subtype,publication_date,signing_date,start_page,title,disposition_notes,executive_order_number
84 FR 58595, 2019-24040,58597,https://www.federalregister.gov/documents/2019/11/01/2019-24040/commission-on-law-enforcement-and-the-administration-of-justice,https://www.govinfo.gov/content/pkg/FR-2019-11-01/pdf/2019-24040.pdf,Presidential Document,Executive Order,11/01/2019,10/28/2019,58595,Commission on Law Enforcement and the Administration of Justice,"",13896
84 FR 57309, 2019-23525,57311,https://www.federalregister.gov/documents/2019/10/25/2019-23525/presidents-council-of-advisors-on-science-and-technology,https://www.govinfo.gov/content/pkg/FR-2019-10-25/pdf/2019-23525.pdf,Presidential Document,Executive Order,10/25/2019,10/22/2019,57309,President's Council of Advisors on Science and Technology,"Revokes: EO 13539, April 21, 2010; See: EO 12968, August 2, 1995",13895
84 FR 55851, 2019-22849,55855,https://www.federalregister.gov/documents/2019/10/17/2019-22849/blocking-property-and-suspending-entry-of-certain-persons-contributing-to-the-situation-in-syria,https://www.govinfo.gov/content/pkg/FR-2019-10-17/pdf/2019-22849.pdf,Presidential Document,Executive Order,10/17/2019,10/14/2019,55851,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Syria,"",13894
84 FR 55487, 2019-22749,55488,https://www.federalregister.gov/documents/2019/10/16/2019-22749/increasing-government-accountability-for-administrative-actions-by-reinvigorating-administrative,https://www.govinfo.gov/content/pkg/FR-2019-10-16/pdf/2019-22749.pdf,Presidential Document,Executive Order,10/16/2019,10/10/2019,55487,Increasing Government Accountability for Administrative Actions by Reinvigorating Administrative PAYGO,"",13893
84 FR 55235, 2019-22623,55238,https://www.federalregister.gov/documents/2019/10/15/2019-22623/promoting-the-rule-of-law-through-improved-agency-guidance-documents,https://www.govinfo.gov/content/pkg/FR-2019-10-15/pdf/2019-22623.pdf,Presidential Document,Executive Order,10/15/2019,10/09/2019,55235,Promoting the Rule of Law Through Improved Agency Guidance Documents,"See: EO 12866, September 30, 1993; EO 13563 of January 18, 2011; EO 1609 of May 1, 2012; EO 13771 of January 30, 2017; EO 13777 of February 25, 2017 ",13891
84 FR 55239, 2019-22624,55243,https://www.federalregister.gov/documents/2019/10/15/2019-22624/promoting-the-rule-of-law-through-transparency-and-fairness-in-civil-administrative-enforcement-and,https://www.govinfo.gov/content/pkg/FR-2019-10-15/pdf/2019-22624.pdf,Presidential Document,Executive Order,10/15/2019,10/09/2019,55239,Promoting the Rule of Law Through Transparency and Fairness in Civil Administrative Enforcement and Adjudication,"",13892
84 FR 53573, 2019-22073,53576,https://www.federalregister.gov/documents/2019/10/08/2019-22073/protecting-and-improving-medicare-for-our-nations-seniors,https://www.govinfo.gov/content/pkg/FR-2019-10-08/pdf/2019-22073.pdf,Presidential Document,Executive Order,10/08/2019,10/03/2019,53573,Protecting and Improving Medicare for Our Nation's Seniors,"See: EO 13813, October 12, 2017",13890
84 FR 52743, 2019-21630,52745,https://www.federalregister.gov/documents/2019/10/02/2019-21630/continuance-of-certain-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2019-10-02/pdf/2019-21630.pdf,Presidential Document,Executive Order,10/02/2019,09/27/2019,52743,Continuance of Certain Federal Advisory Committees,"Supersedes: EO 13811, September 29, 2017",13889
84 FR 52355, 2019-21505,52356,https://www.federalregister.gov/documents/2019/10/01/2019-21505/enhancing-state-and-local-involvement-in-refugee-resettlement,https://www.govinfo.gov/content/pkg/FR-2019-10-01/pdf/2019-21505.pdf,Presidential Document,Executive Order,10/01/2019,09/26/2019,52355,Enhancing State and Local Involvement in Refugee Resettlement,"See: EO 13780, March 6, 2017",13888
84 FR 49935, 2019-20804,49939,https://www.federalregister.gov/documents/2019/09/24/2019-20804/modernizing-influenza-vaccines-in-the-united-states-to-promote-national-security-and-public-health,https://www.govinfo.gov/content/pkg/FR-2019-09-24/pdf/2019-20804.pdf,Presidential Document,Executive Order,09/24/2019,09/19/2019,49935,Modernizing Influenza Vaccines in the United States to Promote National Security and Public Health,"",13887
84 FR 48041, 2019-19895,48043,https://www.federalregister.gov/documents/2019/09/12/2019-19895/modernizing-sanctions-to-combat-terrorism,https://www.govinfo.gov/content/pkg/FR-2019-09-12/pdf/2019-19895.pdf,Presidential Document,Executive Order,09/12/2019,09/09/2019,48041,Modernizing Sanctions To Combat Terrorism,"Revokes: EO 12947, January 23, 1995; See: EO 13099, August 20, 1998; Amends: EO 13224, September 23, 2001",13886
84 FR 46873, 2019-19367,46874,https://www.federalregister.gov/documents/2019/09/05/2019-19367/establishing-the-national-quantum-initiative-advisory-committee,https://www.govinfo.gov/content/pkg/FR-2019-09-05/pdf/2019-19367.pdf,Presidential Document,Executive Order,09/05/2019,08/30/2019,46873,Establishing the National Quantum Initiative Advisory Committee,"See: EO 13526, December 29, 2009",13885
84 FR 38843, 2019-17052,38845,https://www.federalregister.gov/documents/2019/08/07/2019-17052/blocking-property-of-the-government-of-venezuela,https://www.govinfo.gov/content/pkg/FR-2019-08-07/pdf/2019-17052.pdf,Presidential Document,Executive Order,08/07/2019,08/05/2019,38843,Blocking Property of the Government of Venezuela,"See: EO 13692, March 8, 2015",13884
84 FR 38113, 2019-16879,38114,https://www.federalregister.gov/documents/2019/08/05/2019-16879/administration-of-proliferation-sanctions-and-amendment-of-executive-order-12851,https://www.govinfo.gov/content/pkg/FR-2019-08-05/pdf/2019-16879.pdf,Presidential Document,Executive Order,08/05/2019,08/01/2019,38113,Administration of Proliferation Sanctions and Amendment of Executive Order 12851,"See: EO 12938, November 14, 1994; Amends: EO 12851, June 11, 1993",13883
84 FR 37055, 2019-16383,37058,https://www.federalregister.gov/documents/2019/07/30/2019-16383/blocking-property-and-suspending-entry-of-certain-persons-contributing-to-the-situation-in-mali,https://www.govinfo.gov/content/pkg/FR-2019-07-30/pdf/2019-16383.pdf,Presidential Document,Executive Order,07/30/2019,07/26/2019,37055,Blocking Property and Suspending Entry of Certain Persons Contributing to the Situation in Mali,"",13882
84 FR 34257, 2019-15449,34259,https://www.federalregister.gov/documents/2019/07/18/2019-15449/maximizing-use-of-american-made-goods-products-and-materials,https://www.govinfo.gov/content/pkg/FR-2019-07-18/pdf/2019-15449.pdf,Presidential Document,Executive Order,07/18/2019,07/15/2019,34257,"Maximizing Use of American-Made Goods, Products, and Materials","See: EO 13788, April 18, 2017; EO 13858, January 31, 2019; Revokes: EO 10582, December 17, 1954",13881
84 FR 33821, 2019-15222,33825,https://www.federalregister.gov/documents/2019/07/16/2019-15222/collecting-information-about-citizenship-status-in-connection-with-the-decennial-census,https://www.govinfo.gov/content/pkg/FR-2019-07-16/pdf/2019-15222.pdf,Presidential Document,Executive Order,07/16/2019,07/11/2019,33821,Collecting Information About Citizenship Status in Connection With the Decennial Census,"",13880
84 FR 33817, 2019-15159,33819,https://www.federalregister.gov/documents/2019/07/15/2019-15159/advancing-american-kidney-health,https://www.govinfo.gov/content/pkg/FR-2019-07-15/pdf/2019-15159.pdf,Presidential Document,Executive Order,07/15/2019,07/10/2019,33817,Advancing American Kidney Health,"",13879
84 FR 30853, 2019-14016,30856,https://www.federalregister.gov/documents/2019/06/28/2019-14016/establishing-a-white-house-council-on-eliminating-regulatory-barriers-to-affordable-housing,https://www.govinfo.gov/content/pkg/FR-2019-06-28/pdf/2019-14016.pdf,Presidential Document,Executive Order,06/28/2019,06/25/2019,30853,Establishing a White House Council on Eliminating Regulatory Barriers to Affordable Housing,"",13878
84 FR 30849, 2019-13945,30852,https://www.federalregister.gov/documents/2019/06/27/2019-13945/improving-price-and-quality-transparency-in-american-healthcare-to-put-patients-first,https://www.govinfo.gov/content/pkg/FR-2019-06-27/pdf/2019-13945.pdf,Presidential Document,Executive Order,06/27/2019,06/24/2019,30849,Improving Price and Quality Transparency in American Healthcare To Put Patients First,"See: EO 13813, October 12, 2017",13877
84 FR 30573, 2019-13793,30576,https://www.federalregister.gov/documents/2019/06/26/2019-13793/imposing-sanctions-with-respect-to-iran,https://www.govinfo.gov/content/pkg/FR-2019-06-26/pdf/2019-13793.pdf,Presidential Document,Executive Order,06/26/2019,06/24/2019,30573,Imposing Sanctions With Respect to Iran,"See: EO 12957, March 15, 1995",13876
84 FR 28711, 2019-13175,28713,https://www.federalregister.gov/documents/2019/06/19/2019-13175/evaluating-and-improving-the-utility-of-federal-advisory-committees,https://www.govinfo.gov/content/pkg/FR-2019-06-19/pdf/2019-13175.pdf,Presidential Document,Executive Order,06/19/2019,06/14/2019,28711,Evaluating and Improving the Utility of Federal Advisory Committees,"",13875
84 FR 27899, 2019-12802,27902,https://www.federalregister.gov/documents/2019/06/14/2019-12802/modernizing-the-regulatory-framework-for-agricultural-biotechnology-products,https://www.govinfo.gov/content/pkg/FR-2019-06-14/pdf/2019-12802.pdf,Presidential Document,Executive Order,06/14/2019,06/11/2019,27899,Modernizing the Regulatory Framework for Agricultural Biotechnology Products,"",13874
84 FR 22689, 2019-10538,22692,https://www.federalregister.gov/documents/2019/05/17/2019-10538/securing-the-information-and-communications-technology-and-services-supply-chain,https://www.govinfo.gov/content/pkg/FR-2019-05-17/pdf/2019-10538.pdf,Presidential Document,Executive Order,05/17/2019,05/15/2019,22689,Securing the Information and Communications Technology and Services Supply Chain,"See: EO 13636, February 12, 2013",13873
84 FR 22321, 2019-10398,22325,https://www.federalregister.gov/documents/2019/05/16/2019-10398/economic-empowerment-of-asian-americans-and-pacific-islanders,https://www.govinfo.gov/content/pkg/FR-2019-05-16/pdf/2019-10398.pdf,Presidential Document,Executive Order,05/16/2019,05/13/2019,22321,Economic Empowerment of Asian Americans and Pacific Islanders,"Supersedes: EO 13811, September 29, 2017; EO 13515 of October 14, 2009",13872
84 FR 20761, 2019-09877,20764,https://www.federalregister.gov/documents/2019/05/10/2019-09877/imposing-sanctions-with-respect-to-the-iron-steel-aluminum-and-copper-sectors-of-iran,https://www.govinfo.gov/content/pkg/FR-2019-05-10/pdf/2019-09877.pdf,Presidential Document,Executive Order,05/10/2019,05/08/2019,20761,"Imposing Sanctions With Respect to the Iron, Steel, Aluminum, and Copper Sectors of Iran","See: EO 12957, March 15, 1995",13871
84 FR 20523, 2019-09750,20527,https://www.federalregister.gov/documents/2019/05/09/2019-09750/americas-cybersecurity-workforce,https://www.govinfo.gov/content/pkg/FR-2019-05-09/pdf/2019-09750.pdf,Presidential Document,Executive Order,05/09/2019,05/02/2019,20523,America's Cybersecurity Workforce,"See:  EO 13800, May 11, 2017;  EO 10694, January 10, 1957",13870
84 FR 18125, 2019-08797,18131,https://www.federalregister.gov/documents/2019/04/29/2019-08797/transferring-responsibility-for-background-investigations-to-the-department-of-defense,https://www.govinfo.gov/content/pkg/FR-2019-04-29/pdf/2019-08797.pdf,Presidential Document,Executive Order,04/29/2019,04/24/2019,18125,Transferring Responsibility for Background Investigations to the Department of Defense,"Amends: EO 13467, June 30, 2008; EO 12171, November 18, 1979 See: EO 13488, January 16, 2009",13869
84 FR 15491, 2019-07645,15493,https://www.federalregister.gov/documents/2019/04/15/2019-07645/issuance-of-permits-with-respect-to-facilities-and-land-transportation-crossings-at-the,https://www.govinfo.gov/content/pkg/FR-2019-04-15/pdf/2019-07645.pdf,Presidential Document,Executive Order,04/15/2019,04/10/2019,15491,Issuance of Permits With Respect to Facilities and Land Transportation Crossings at the International Boundaries of the United States,"See: EO 10485, September 3, 1953; EO 10530 of May 10, 1954 Revokes: EO 11423 of August 16, 1968; EO 13337, April 30, 2004",13867
84 FR 15495, 2019-07656,15499,https://www.federalregister.gov/documents/2019/04/15/2019-07656/promoting-energy-infrastructure-and-economic-growth,https://www.govinfo.gov/content/pkg/FR-2019-04-15/pdf/2019-07656.pdf,Presidential Document,Executive Order,04/15/2019,04/10/2019,15495,Promoting Energy Infrastructure and Economic Growth,"",13868
84 FR 12853, 2019-06548,12865,https://www.federalregister.gov/documents/2019/04/02/2019-06548/adjustments-of-certain-rates-of-pay,https://www.govinfo.gov/content/pkg/FR-2019-04-02/pdf/2019-06548.pdf,Presidential Document,Executive Order,04/02/2019,03/28/2019,12853,Adjustments of Certain Rates of Pay,"Supersedes: EO 13856, December 28, 2018",13866
84 FR 12041, 2019-06325,12046,https://www.federalregister.gov/documents/2019/03/29/2019-06325/coordinating-national-resilience-to-electromagnetic-pulses,https://www.govinfo.gov/content/pkg/FR-2019-03-29/pdf/2019-06325.pdf,Presidential Document,Executive Order,03/29/2019,03/26/2019,12041,Coordinating National Resilience to Electromagnetic Pulses,"See: EO 13800, May 11, 2017",13865
84 FR 11401, 2019-05934,11404,https://www.federalregister.gov/documents/2019/03/26/2019-05934/improving-free-inquiry-transparency-and-accountability-at-colleges-and-universities,https://www.govinfo.gov/content/pkg/FR-2019-03-26/pdf/2019-05934.pdf,Presidential Document,Executive Order,03/26/2019,03/21/2019,11401,"Improving Free Inquiry, Transparency, and Accountability at Colleges and Universities","See: EO 13845, July 19, 2018",13864
84 FR 10255, 2019-05370,10256,https://www.federalregister.gov/documents/2019/03/19/2019-05370/taking-additional-steps-to-address-the-national-emergency-with-respect-to-significant-transnational,https://www.govinfo.gov/content/pkg/FR-2019-03-19/pdf/2019-05370.pdf,Presidential Document,Executive Order,03/19/2019,03/15/2019,10255,Taking Additional Steps to Address the National Emergency With Respect to Significant Transnational Criminal Organizations,"Amends: EO 13581, July 24, 2011",13863
84 FR 8789, 2019-04595,8790,https://www.federalregister.gov/documents/2019/03/11/2019-04595/revocation-of-reporting-requirement,https://www.govinfo.gov/content/pkg/FR-2019-03-11/pdf/2019-04595.pdf,Presidential Document,Executive Order,03/11/2019,03/06/2019,8789,Revocation of Reporting Requirement,"Amends: EO 13732, July 1, 2016",13862
84 FR 8585, 2019-04437,8588,https://www.federalregister.gov/documents/2019/03/08/2019-04437/national-roadmap-to-empower-veterans-and-end-suicide,https://www.govinfo.gov/content/pkg/FR-2019-03-08/pdf/2019-04437.pdf,Presidential Document,Executive Order,03/08/2019,03/05/2019,8585,National Roadmap to Empower Veterans and End Suicide,"",13861
